,accounts,ch,chamber,id,name,party,screen_name,state,type
55,"{'office': [{'id': 950783972, 'id_str': '950783972', 'screen_name': 'RepBera'}], 'campaign': [{'id': 43986986, 'id_str': '43986986', 'screen_name': 'BeraForCongress'}], 'index': 38}",no,house,"{'bioguide': 'B001287', 'govtrack': 412512}",Ami Bera,D,RepBera,CA,member
56,"{'office': [{'id': 950783972, 'id_str': '950783972', 'screen_name': 'RepBera'}], 'campaign': [{'id': 43986986, 'id_str': '43986986', 'screen_name': 'BeraForCongress'}], 'index': 38}",yes,house,"{'bioguide': 'B001287', 'govtrack': 412512}",Ami Bera,D,BeraForCongress,CA,member
57,"{'office': [{'id': 249348006, 'id_str': '249348006', 'screen_name': 'RepAnnaEshoo'}], 'campaign': [{'id': 482713734, 'id_str': '482713734', 'screen_name': 'Eshoo4Congress'}], 'index': 39}",no,house,"{'bioguide': 'E000215', 'govtrack': 400124}",Anna Eshoo,D,RepAnnaEshoo,CA,member
58,"{'office': [{'id': 249348006, 'id_str': '249348006', 'screen_name': 'RepAnnaEshoo'}], 'campaign': [{'id': 482713734, 'id_str': '482713734', 'screen_name': 'Eshoo4Congress'}], 'index': 39}",yes,house,"{'bioguide': 'E000215', 'govtrack': 400124}",Anna Eshoo,D,Eshoo4Congress,CA,member
59,"{'office': [{'id': 248735463, 'id_str': '248735463', 'screen_name': 'RepBarbaraLee'}], 'campaign': [{'id': 144927376, 'id_str': '144927376', 'screen_name': 'BarbaraLeeSays'}], 'index': 40}",no,house,"{'bioguide': 'L000551', 'govtrack': 400237}",Barbara Lee,D,RepBarbaraLee,CA,member
60,"{'office': [{'id': 248735463, 'id_str': '248735463', 'screen_name': 'RepBarbaraLee'}], 'campaign': [{'id': 144927376, 'id_str': '144927376', 'screen_name': 'BarbaraLeeSays'}], 'index': 40}",yes,house,"{'bioguide': 'L000551', 'govtrack': 400237}",Barbara Lee,D,BarbaraLeeSays,CA,member
61,"{'office': [{'id': 30216513, 'id_str': '30216513', 'screen_name': 'BradSherman'}], 'index': 41}",no,house,"{'bioguide': 'S000344', 'govtrack': 400371}",Brad Sherman,D,BradSherman,CA,member
62,"{'office': [{'id': 831483464, 'id_str': '831483464', 'screen_name': 'RepRohrabacher'}], 'campaign': [{'id': 19139963, 'id_str': '19139963', 'screen_name': 'DanaRohrabacher'}], 'index': 42}",no,house,"{'bioguide': 'R000409', 'govtrack': 400343}",Dana Rohrabacher,R,RepRohrabacher,CA,member
63,"{'office': [{'id': 831483464, 'id_str': '831483464', 'screen_name': 'RepRohrabacher'}], 'campaign': [{'id': 19139963, 'id_str': '19139963', 'screen_name': 'DanaRohrabacher'}], 'index': 42}",yes,house,"{'bioguide': 'R000409', 'govtrack': 400343}",Dana Rohrabacher,R,DanaRohrabacher,CA,member
64,"{'office': [{'id': 22509548, 'id_str': '22509548', 'screen_name': 'DarrellIssa'}], 'campaign': [{'id': 63650107, 'id_str': '63650107', 'screen_name': 'TeamIssa'}], 'index': 43}",no,house,"{'bioguide': 'I000056', 'govtrack': 400196}",Darrell Issa,R,DarrellIssa,CA,member
