,ch,chamber,name,party,screen_name,state,type
918,yes,senate,Ben Sasse,R,BenSasse,NE,member
919,no,senate,Deb Fischer,R,SenatorFischer,NE,member
920,yes,senate,Deb Fischer,R,DebSFischer,NE,member
921,yes,senate,Deb Fischer,R,DebFischerNE,NE,member
922,no,senate,Jeanne Shaheen,D,SenatorShaheen,NH,member
923,yes,senate,Jeanne Shaheen,D,JeanneShaheen,NH,member
924,no,senate,Maggie Hassan,D,SenatorHassan,NH,member
925,yes,senate,Maggie Hassan,D,Maggie_Hassan,NH,member
926,no,senate,Bob Menendez,D,SenatorMenendez,NJ,member
927,yes,senate,Bob Menendez,D,Menendez4NJ,NJ,member
928,no,senate,Cory Booker,D,SenBookerOffice,NJ,member
929,no,senate,Cory Booker,D,CoryBooker,NJ,member
930,yes,senate,Cory Booker,D,Booker4Senate,NJ,member
931,no,senate,Martin Heinrich,D,MartinHeinrich,NM,member
932,yes,senate,Martin Heinrich,D,Heinrich4NM,NM,member
933,no,senate,Tom Udall,D,SenatorTomUdall,NM,member
934,yes,senate,Tom Udall,D,TomUdallPress,NM,member
935,yes,senate,Tom Udall,D,tomudall,NM,member
936,no,senate,Catherine Cortez Masto,D,SenCortezMasto,NV,member
937,yes,senate,Catherine Cortez Masto,D,CatherineForNV,NV,member
938,no,senate,Dean Heller,R,SenDeanHeller,NV,member
939,yes,senate,Dean Heller,R,DeanHeller,NV,member
940,no,senate,Chuck Schumer,D,SenSchumer,NY,member
941,yes,senate,Chuck Schumer,D,chuckschumer,NY,member
942,no,senate,Kirsten Gillibrand,D,SenGillibrand,NY,member
943,no,senate,Rob Portman,R,senrobportman,OH,member
944,no,senate,Rob Portman,R,PortmanPress,OH,member
945,yes,senate,Rob Portman,R,robportman,OH,member
946,no,senate,Sherrod Brown,D,SenSherrodBrown,OH,member
947,yes,senate,Sherrod Brown,D,SherrodBrown,OH,member
948,no,senate,James Lankford,R,SenatorLankford,OK,member
949,yes,senate,James Lankford,R,jameslankford,OK,member
950,no,senate,Jim Inhofe,R,InhofePress,OK,member
951,no,senate,Jim Inhofe,R,JimInhofe,OK,member
952,no,senate,Jeff Merkley,D,SenJeffMerkley,OR,member
953,yes,senate,Jeff Merkley,D,JeffMerkley,OR,member
954,no,senate,Ron Wyden,D,RonWyden,OR,member
955,no,senate,Ron Wyden,D,WydenPress,OR,member
956,yes,senate,Ron Wyden,D,WydenForOregon,OR,member
957,no,senate,Bob Casey Jr.,D,SenBobCasey,PA,member
958,yes,senate,Bob Casey Jr.,D,Bob_Casey,PA,member
959,no,senate,Pat Toomey,R,SenToomey,PA,member
960,yes,senate,Pat Toomey,R,PatToomey,PA,member
961,no,senate,Jack Reed,D,SenJackReed,RI,member
962,yes,senate,Jack Reed,D,TomReedCongress,RI,member
963,no,senate,Sheldon Whitehouse,D,SenWhitehouse,RI,member
964,no,senate,Lindsey Graham,R,GrahamBlog,SC,member
965,no,senate,Lindsey Graham,R,LindseyGrahamSC,SC,member
966,no,senate,Tim Scott,R,SenatorTimScott,SC,member
967,yes,senate,Tim Scott,R,votetimscott,SC,member
968,no,senate,John Thune,R,SenJohnThune,SD,member
969,yes,senate,John Thune,R,johnthune,SD,member
970,no,senate,Mike Rounds,R,SenatorRounds,SD,member
971,yes,senate,Mike Rounds,R,RoundsforSenate,SD,member
972,no,senate,Bob Corker,R,SenBobCorker,TN,member
973,yes,senate,Bob Corker,R,BobCorker,TN,member
974,no,senate,Lamar Alexander,R,SenAlexander,TN,member
975,no,senate,John Cornyn,R,JohnCornyn,TX,member
976,yes,senate,John Cornyn,R,TeamCornyn,TX,member
977,no,senate,Ted Cruz,R,SenTedCruz,TX,member
978,yes,senate,Ted Cruz,R,TeamTedCruz,TX,member
979,yes,senate,Ted Cruz,R,tedcruz,TX,member
980,no,senate,Mike Lee,R,SenMikeLee,UT,member
981,yes,senate,Mike Lee,R,MikeLeeforUtah,UT,member
982,no,senate,Orrin Hatch,R,senorrinhatch,UT,member
983,yes,senate,Orrin Hatch,R,OrrinHatch,UT,member
984,no,senate,Mark Warner,D,MarkWarner,VA,member
985,no,senate,Tim Kaine,D,SenKaineOffice,VA,member
986,no,senate,Tim Kaine,D,timkaine,VA,member
987,no,senate,Bernie Sanders,I,SenSanders,VT,member
988,yes,senate,Bernie Sanders,I,BernieSanders,VT,member
989,no,senate,Patrick Leahy,D,SenatorLeahy,VT,member
990,yes,senate,Patrick Leahy,D,PatrickLeahy,VT,member
991,no,senate,Maria Cantwell,D,SenatorCantwell,WA,member
992,yes,senate,Maria Cantwell,D,MariaCantwell,WA,member
993,no,senate,Patty Murray,D,PattyMurray,WA,member
994,yes,senate,Patty Murray,D,MurrayCampaign,WA,member
995,no,senate,Ron Johnson,R,SenRonJohnson,WI,member
996,yes,senate,Ron Johnson,R,RonJohnsonWI,WI,member
997,no,senate,Tammy Baldwin,D,SenatorBaldwin,WI,member
998,yes,senate,Tammy Baldwin,D,tammybaldwin,WI,member
999,no,senate,Joe Manchin,D,Sen_JoeManchin,WV,member
1000,yes,senate,Joe Manchin,D,JoeManchinWV,WV,member
1001,no,senate,Shelley Moore Capito,R,SenCapito,WV,member
1002,yes,senate,Shelley Moore Capito,R,CapitoforWV,WV,member
1003,no,senate,John Barrasso,R,SenJohnBarrasso,WY,member
1004,yes,senate,John Barrasso,R,barrassoforwyo,WY,member
1005,no,senate,Mike Enzi,R,SenatorEnzi,WY,member
1006,yes,senate,Mike Enzi,R,EnziforWyo,WY,member
1007,no,house,House Committee on Agriculture,R,HouseAgNews,,committee
1008,no,house,House Committee on Appropriations,D,AppropsDems,,committee
1009,no,house,House Committee on Appropriations,R,HouseAppropsGOP,,committee
1010,no,house,House Committee on Armed Services,D,HASCDemocrats,,committee
1011,no,house,House Committee on Armed Services,R,HASCRepublicans,,committee
1012,no,house,House Committee on Education and the Workforce,D,edworkforcedems,,committee
1013,no,house,House Committee on Education and the Workforce,R,EdWorkforce,,committee
1014,no,house,House Committee on Energy and Commerce,D,EnergyCommerce,,committee
1015,no,house,House Committee on Energy and Commerce,R,HouseCommerce,,committee
1016,no,house,House Committee on Financial Services,D,FSCDems,,committee
1017,no,house,House Committee on Financial Services,R,FinancialCmte,,committee
1018,no,house,House Committee on Foreign Affairs,D,HFACDemocrats,,committee
1019,no,house,House Committee on Foreign Affairs,R,HouseForeign,,committee
1020,no,house,House Committee on Homeland Security,D,HomelandDems,,committee
1021,no,house,House Committee on Homeland Security,R,HouseHomeland,,committee
1022,no,house,House Committee on House Administration,D,HouseAdm_Dems,,committee
1023,no,house,House Committee on House Administration,R,HouseAdmnGOP,,committee
1024,no,house,House Committee on Natural Resources,D,NRDems,,committee
1025,no,house,House Committee on Natural Resources,R,NatResources,,committee
1026,no,house,House Committee on Oversight and Government Reform,D,OversightDems,,committee
1027,no,house,House Committee on Oversight and Government Reform,R,GOPoversight,,committee
1028,no,house,House Committee on Rules,R,RulesReps,,committee
1029,no,house,"House Committee on Science, Space, and Technology",D,SciCmteDems,,committee
1030,no,house,"House Committee on Science, Space, and Technology",R,HouseScience,,committee
1031,no,house,House Committee on Small Business,R,HouseSmallBiz,,committee
1032,no,house,House Committee on Transportation and Infrastructure,D,TransportDems,,committee
1033,no,house,House Committee on Transportation and Infrastructure,R,Transport,,committee
1034,no,house,House Committee on Veterans' Affairs,D,VetAffairsDems,,committee
1035,no,house,House Committee on Veterans' Affairs,R,HouseVetAffairs,,committee
1036,no,house,House Committee on Ways and Means,D,WaysMeansCmte,,committee
1037,no,house,House Committee on Ways and Means,R,WaysandMeansGOP,,committee
1038,no,house,House Committee on the Budget,D,HouseBudgetDems,,committee
1039,no,house,House Committee on the Budget,R,housebudgetGOP,,committee
1040,no,house,House Committee on the Judiciary,D,HouseJudDems,,committee
1041,no,house,House Committee on the Judiciary,R,HouseJudiciary,,committee
1042,no,joint,Joint Committee on Taxation,,jctgov,,committee
1043,no,joint,Joint Economic Committee,D,JECDems,,committee
1044,no,joint,Joint Economic Committee,R,JECRepublicans,,committee
1045,no,senate,"Senate Committee on Agriculture, Nutrition, and Forestry",R,SenateAgGOP,,committee
1046,no,senate,Senate Committee on Appropriations,D,SenateApprops,,committee
1047,no,senate,Senate Committee on Armed Services,R,SASCMajority,,committee
1048,no,senate,"Senate Committee on Banking, Housing, and Urban Affairs",R,BankingGOP,,committee
1049,no,senate,"Senate Committee on Commerce, Science, and Transportation",R,SenateCommerce,,committee
1050,no,senate,Senate Committee on Energy and Natural Resources,D,EnergyDems,,committee
1051,no,senate,Senate Committee on Energy and Natural Resources,R,EnergyGOP,,committee
1052,no,senate,Senate Committee on Environment and Public Works,D,EPWDems,,committee
1053,no,senate,Senate Committee on Environment and Public Works,R,EPWGOP,,committee
1054,no,senate,Senate Committee on Finance,R,GOPSenFinance,,committee
1055,no,senate,"Senate Committee on Health, Education, Labor, and Pensions",R,GOPHELP,,committee
1056,no,senate,Senate Committee on Indian Affairs,R,IndianCommittee,,committee
1057,no,senate,Senate Committee on Small Business and Entrepreneurship,R,SmallBizCmte,,committee
1058,no,senate,Senate Committee on Veterans' Affairs,R,VAChair,,committee
1059,no,senate,Senate Committee on the Budget,R,BudgetGOP,,committee
1060,no,senate,Senate Committee on the Judiciary,R,senjudiciary,,committee
1061,no,senate,Senate Special Committee on Aging,R,SenateAging,,committee
1062,yes,house,Democrats,D,DemCloakroom,,party
1063,no,house,Democrats,D,HouseDemocrats,,party
1064,yes,house,Democrats,D,dccc,,party
1065,no,house,Republicans,R,GOPEspanol,,party
1066,no,house,Republicans,R,GOPpolicy,,party
1067,no,house,Republicans,R,HouseGOP,,party
1068,no,house,Republicans,R,RepCloakroom,,party
1069,yes,house,Republicans,R,NRCC,,party
1070,no,senate,Democrats,D,DSenFloor,,party
1071,no,senate,Democrats,D,SenateDems,,party
1072,yes,senate,Democrats,D,dscc,,party
1073,no,senate,Republicans,R,SenateGOP,,party
1074,no,senate,Republicans,R,SenateRPC,,party
1075,no,senate,Republicans,R,senategopfloor,,party
1076,yes,senate,Republicans,R,NRSC,,party
