,accounts,chamber,id,name,party,state,type
61,"{'office': [{'id': 831483464, 'id_str': '831483464', 'screen_name': 'RepRohrabacher'}], 'campaign': [{'id': 19139963, 'id_str': '19139963', 'screen_name': 'DanaRohrabacher'}]}",house,"{'bioguide': 'R000409', 'govtrack': 400343}",Dana Rohrabacher,R,CA,member
62,"{'office': [{'id': 22509548, 'id_str': '22509548', 'screen_name': 'DarrellIssa'}], 'campaign': [{'id': 63650107, 'id_str': '63650107', 'screen_name': 'TeamIssa'}]}",house,"{'bioguide': 'I000056', 'govtrack': 400196}",Darrell Issa,R,CA,member
63,"{'office': [{'id': 1128514404, 'id_str': '1128514404', 'screen_name': 'RepDavidValadao'}], 'campaign': [{'id': 36676406, 'id_str': '36676406', 'screen_name': 'dgvaladao'}]}",house,"{'bioguide': 'V000129', 'govtrack': 412515}",David Valadao,R,CA,member
64,"{'office': [{'id': 344972339, 'id_str': '344972339', 'screen_name': 'Rep_DevinNunes'}, {'id': 54412900, 'id_str': '54412900', 'screen_name': 'DevinNunes'}], 'campaign': [{'id': 2851579030, 'id_str': '2851579030', 'screen_name': 'DevinGNunes'}]}",house,"{'bioguide': 'N000181', 'govtrack': 400297}",Devin Nunes,R,CA,member
65,"{'office': [{'id': 38254095, 'id_str': '38254095', 'screen_name': 'DorisMatsui'}], 'campaign': [{'id': 169331127, 'id_str': '169331127', 'screen_name': 'Matsui4Congress'}]}",house,"{'bioguide': 'M001163', 'govtrack': 400663}",Doris Matsui,D,CA,member
66,"{'office': [{'id': 1069124515, 'id_str': '1069124515', 'screen_name': 'RepLaMalfa'}], 'campaign': [{'id': 19808819, 'id_str': '19808819', 'screen_name': 'DougLaMalfa'}]}",house,"{'bioguide': 'L000578', 'govtrack': 412510}",Doug LaMalfa,R,CA,member
67,"{'office': [{'id': 1305596696, 'id_str': '1305596696', 'screen_name': 'Rep_Hunter'}]}",house,"{'bioguide': 'H001048', 'govtrack': 412283}",Duncan Hunter,R,CA,member
68,"{'office': [{'id': 246769138, 'id_str': '246769138', 'screen_name': 'RepEdRoyce'}], 'campaign': [{'id': 182052260, 'id_str': '182052260', 'screen_name': 'EdRRoyce'}]}",house,"{'bioguide': 'R000487', 'govtrack': 400348}",Ed Royce,R,CA,member
69,"{'office': [{'id': 942156122, 'id_str': '942156122', 'screen_name': 'RepSwalwell'}], 'campaign': [{'id': 377609596, 'id_str': '377609596', 'screen_name': 'ericswalwell'}]}",house,"{'bioguide': 'S001193', 'govtrack': 412514}",Eric Swalwell,D,CA,member
70,"{'office': [{'id': 161411080, 'id_str': '161411080', 'screen_name': 'gracenapolitano'}], 'campaign': [{'id': 4895651115, 'id_str': '4895651115', 'screen_name': 'grace4congress'}]}",house,"{'bioguide': 'N000179', 'govtrack': 400290}",Grace Napolitano,D,CA,member
